Title,t in s,BPM,guitar,classical,slow,techno,strings,drums,electronic,rock,fast,piano,ambient,beat,violin,vocal,synth,female,indian,opera,male,singing,vocals,no vocals,harpsichord,loud,quiet,flute,woman,male vocal,no vocal,pop,soft,sitar,solo,man,classic,choir,voice,new age,dance,male voice,female vocal,beats,harp,cello,no voice,weird,country,metal,female voice,choral
joram.mp3,0,112,0.08601758,0.010147049,0.01930372,0.6484206,0.033683844,0.19261596,0.5277356,0.08842193,0.39516503,0.031988237,0.046533808,0.19951461,0.013538951,0.0148885865,0.38028124,0.016485404,0.07833126,0.0003771895,0.010131304,0.011012108,0.015117379,0.09063259,0.0043396647,0.13001536,0.0038707177,0.027648993,0.013598852,0.01327928,0.06593232,0.044377808,0.0048588226,0.017408738,0.004321629,0.0069553936,0.0011880209,0.00058014964,0.010699753,0.028687306,0.080941126,0.007556075,0.010374769,0.05709276,0.004935061,0.0007532685,0.026531793,0.06411738,0.0057716714,0.0064639524,0.010788075,0.0004986423
joram.mp3,3,172,0.08350073,0.009885657,0.022637412,0.65456307,0.030764911,0.19297408,0.5333711,0.08791289,0.3864508,0.032939147,0.052922104,0.19976285,0.012188692,0.014383633,0.38087747,0.015767474,0.07150008,0.0003760855,0.010242838,0.010268852,0.014821574,0.0933581,0.0032887035,0.13381214,0.0057472526,0.026353009,0.012936896,0.013414109,0.06881558,0.03950025,0.0058353776,0.015640562,0.004456307,0.00694051,0.0011490495,0.0005801392,0.010662671,0.030978458,0.07821897,0.0077787098,0.009819778,0.05799996,0.004561535,0.0007889529,0.027202457,0.071074545,0.004895171,0.006940998,0.010637423,0.0004896505
joram.mp3,6,112,0.08320953,0.008095251,0.026286984,0.6858382,0.03098183,0.16202673,0.57390296,0.087778635,0.36321065,0.04373184,0.061891384,0.19548294,0.015180406,0.01652963,0.43965372,0.018527776,0.050985597,0.00043432656,0.011373642,0.013350956,0.01699,0.09410713,0.0026265634,0.118180335,0.006079105,0.017017368,0.014710548,0.015106998,0.0703746,0.054750074,0.007197895,0.0128035005,0.005024341,0.008834179,0.0008688873,0.0006628057,0.011424215,0.03465724,0.08198172,0.009245364,0.011906791,0.052505948,0.002836766,0.000976594,0.025663335,0.06667932,0.00821008,0.005383643,0.012502244,0.00052810286
joram.mp3,9,112,0.12270091,0.007937712,0.012500317,0.59813124,0.037856203,0.2604426,0.41193008,0.14676155,0.48567128,0.036824115,0.021014228,0.23753226,0.017168539,0.024974115,0.26853696,0.028060034,0.111168414,0.0006827603,0.01723559,0.018415237,0.0257691,0.08251936,0.0034741175,0.18625885,0.0009558198,0.020607194,0.022528648,0.021744793,0.058190446,0.06234869,0.0021662768,0.020499367,0.004668942,0.010668187,0.00088731805,0.0011705915,0.017925223,0.021842742,0.107542954,0.0122294435,0.016951721,0.07110018,0.0033929094,0.0009501173,0.026590062,0.05729935,0.009152985,0.012909242,0.018420834,0.0009845213
joram.mp3,12,112,0.05700484,0.007856835,0.030156096,0.7272993,0.027433129,0.12692456,0.6297672,0.056381106,0.32781997,0.04068682,0.08555102,0.17651956,0.014635493,0.013685807,0.5063459,0.020870773,0.031749953,0.00046955282,0.007170445,0.010985759,0.014118116,0.089836486,0.002567364,0.106813364,0.0074565266,0.022356562,0.016221395,0.00893247,0.06930676,0.04234693,0.008269921,0.007951328,0.004472191,0.005235934,0.00081109186,0.0006884238,0.008905501,0.036699276,0.07814144,0.006002084,0.013041232,0.043843936,0.002787438,0.00081862026,0.02572596,0.07353292,0.006874399,0.004341394,0.013702347,0.0005162335
joram.mp3,15,112,0.0870065,0.009049812,0.015497369,0.6392949,0.039817426,0.16408223,0.5123285,0.08183348,0.40322602,0.04910947,0.028950874,0.18850434,0.020873457,0.020427529,0.34294674,0.030904526,0.05022477,0.0006764038,0.010748055,0.016408373,0.02099201,0.08632096,0.0038294594,0.15352361,0.0014145335,0.030452028,0.024046756,0.013359035,0.06147322,0.06017272,0.0029007853,0.012121942,0.0049733324,0.007838523,0.0010093781,0.001030065,0.013130397,0.026118847,0.07981329,0.008962176,0.01921281,0.049479604,0.004149298,0.0011208267,0.02620224,0.074496254,0.010250065,0.006491212,0.020282475,0.00076887244
joram.mp3,18,112,0.08748544,0.009622073,0.015832776,0.60856944,0.041610043,0.22862713,0.4424969,0.085850805,0.45312893,0.049947627,0.027430918,0.2185719,0.021334797,0.020579658,0.3150549,0.030944915,0.058503196,0.00068503484,0.010827992,0.016467625,0.021119013,0.08678965,0.003872737,0.15542817,0.001239164,0.020273589,0.024123516,0.013466939,0.06129897,0.06096451,0.0028332912,0.0126771405,0.0051314,0.007877962,0.0010510953,0.0010475729,0.013340752,0.027559344,0.09058346,0.009012095,0.019190796,0.060879342,0.004193734,0.0011348261,0.028324641,0.05683351,0.010213227,0.006555824,0.020291116,0.0007876
joram.mp3,21,112,0.09723555,0.009384762,0.020094693,0.53720754,0.041056212,0.24686801,0.44222584,0.09048403,0.29903376,0.055937234,0.028200453,0.24562792,0.021601839,0.02574143,0.3013981,0.042245924,0.051455,0.00070464774,0.01146833,0.01878978,0.024503293,0.08276646,0.0038828594,0.15511885,0.0013768318,0.02641594,0.034216832,0.014281745,0.06121858,0.07316834,0.0035240436,0.012997463,0.0052130357,0.00823412,0.001030548,0.0011225322,0.017018486,0.02963335,0.074903846,0.009529001,0.025816318,0.07050914,0.0041651074,0.0011549767,0.027016204,0.054200217,0.010849533,0.006808943,0.027227724,0.0008477719
joram.mp3,24,112,0.08356551,0.011778612,0.044651557,0.6929912,0.039799258,0.12375035,0.629578,0.07896597,0.21839833,0.060030505,0.11112994,0.17997062,0.021977656,0.020087976,0.5366806,0.03056637,0.034831535,0.0006939663,0.010646825,0.016261168,0.020537823,0.087650135,0.0038196917,0.13882199,0.01194493,0.014710341,0.023694042,0.0132304,0.076474205,0.05979624,0.012944091,0.011397348,0.00635654,0.0077938824,0.0011874957,0.0010142981,0.012711117,0.049821056,0.07959966,0.008881702,0.01905671,0.041219648,0.0041316133,0.0012520892,0.02805412,0.06625579,0.010230237,0.0064312336,0.020073086,0.0007534461
Standard deviation,,,0.016042159170633823,0.0011910366725792257,0.009255271181674183,0.05375354109722002,0.004952261347329127,0.046559947631908474,0.07522804309871133,0.022524752031846052,0.07611553425385688,0.009351911646200238,0.028693594760511552,0.02297245984740534,0.003658247599797699,0.00420848129544528,0.08690143611471024,0.008265670992333732,0.02302150872841898,0.00013902148209433724,0.0024804435270481123,0.0031242391031760753,0.004032617777834821,0.003911626047282465,0.0005651763559903161,0.022286786785085937,0.0035128754092272727,0.004921489875193017,0.006536668089981035,0.0031454118645709477,0.005518275566389985,0.010445680844471216,0.00325338734088079,0.00344691174061501,0.0005804106047859914,0.001395032955159715,0.00013258617239256075,0.00022986517406365427,0.0027982073603199393,0.0076112816037272445,0.009406783282332276,0.00159817781267297,0.00496936044321181,0.009935576901863296,0.0006997158244683102,0.0001704312028858365,0.0008834021595386288,0.007052688106164932,0.0020575923958788054,0.002252320050145406,0.005246741281817663,0.000171410047785312
